Brand,Processor_Speed,RAM_Size,Storage_Capacity,Screen_Size,Weight,Price
0,3.830295706209031,16,512,11.185147425848434,2.6410944247109853,17395.093064560457
1,2.912832958973022,4,1000,11.311371797110466,3.2600122222442147,31607.60591926617
2,3.2416270596922305,4,256,11.853022680223374,2.029060648222903,9291.023542338657
1,3.80624845294324,16,512,12.280360087854138,4.573865272745172,17436.72833420527
1,3.2680965857834963,32,1000,14.990877165430431,4.193472033364752,32917.990718167515
3,1.8813476072856532,16,256,11.94395768001097,4.84026810552111,9543.719980129945
2,2.940720900417033,32,256,11.713246347062432,4.344846437589197,10390.13731921554
2,3.01678761595714,4,256,15.588314848857674,2.9411195361561955,9214.484505999935
2,2.560326678255965,4,512,15.026331703159489,2.743620076185271,16372.175283874409
1,3.341110589061807,32,512,13.611945328731418,4.093148922659879,18501.83273321414
0,3.835917536922537,4,1000,14.295858628880625,3.0923383250314984,31967.607631536364
2,3.813921282266941,32,512,12.871904121958512,3.6986450472578496,18534.108629919712
1,2.6270984285103305,8,512,13.895002521412165,2.018772413079411,17495.98363758707
3,1.783095114601888,16,256,14.040035893896476,2.1856571050414257,9731.982415267874
0,3.962102997405837,8,256,13.323423627068577,3.6061038235449536,9831.389961542602
3,3.5972452161148354,32,256,16.439433264032978,3.698214939344495,11038.928125612205
0,1.8116567030081672,16,256,11.096371189886035,4.254358833378031,8971.512504748447
1,3.802104706543431,32,256,15.693027578547476,2.3958959588718853,10915.05717304083
4,3.674740905155321,16,256,11.746296987447948,3.539549251270336,9637.891638203962
0,2.79709514281518,16,256,15.785284163223196,2.5833429332950657,9593.110592180388
3,2.9781885893623232,16,1000,14.695471494060328,2.279588358688084,31965.356609806408
1,2.4975067596753258,16,1000,16.059668545618415,3.231487382181664,32025.836689022144
0,1.6369040970550783,32,1000,11.585085953845384,2.490009944267172,32764.274431192796
4,2.3379931041147524,16,1000,14.353883804598643,2.665345934576956,32114.82080257049
4,3.5071336214950284,16,256,14.006527281573184,2.9526637396085054,9929.514355970863
2,1.511580057511507,8,1000,15.237159097780152,2.7781652022295886,31623.8142296768
2,2.3337479292278607,4,256,14.205743311362054,2.2627738922178398,9264.933977469056
3,2.4954217339773583,4,1000,14.244407402798624,2.2697487345791068,31549.79984535232
0,2.843489007344808,8,512,13.577575661456388,2.5797482457025045,16729.550875026107
0,3.799639041031901,8,1000,12.853006544044046,2.151677563878617,31747.60460557713
2,2.3658649859149032,32,1000,13.893586167513153,3.8793710590307815,32817.51657673146
0,2.367383004740569,32,256,11.710954152610404,2.8619801495267057,10605.76645913327
0,3.343753120274371,32,1000,16.769080033898508,2.839237903307213,32810.02391415497
4,2.630544852224518,8,512,15.286464581759589,2.9959948827132954,17059.609275297906
2,2.061512057349955,8,256,16.71480270012708,3.988388822629165,8973.58968596835
1,2.6310987903317336,16,256,12.36036429397978,4.611901644450471,9912.491624645294
2,1.8521425509494995,32,1000,16.276046121059167,4.277260797666916,32801.64628030737
1,1.9409674662655585,32,256,15.852739907381231,4.182587690675285,10174.195207302795
4,2.7459194318486992,32,256,15.06291447474604,3.453173556802548,10325.364732735776
